cod_transacao,num_conta,data_transacao,nome_transacao,valor_transacao,ano
13546,259,1970-01-01 00:00:00,Saque,-250.0,2020
51920,259,1970-01-01 00:00:00,Saque,-215.0,2022
34167,771,1970-01-01 00:00:00,Saque,-860.0,2020
35751,771,1970-01-01 00:00:00,Saque,-90.0,2020
40239,4,1970-01-01 00:00:00,Saque,-35.0,2019
41314,4,1970-01-01 00:00:00,Saque,-260.0,2020
51740,4,1970-01-01 00:00:00,Saque,-735.0,2020
69658,4,1970-01-01 00:00:00,Saque,-140.0,2020
24975,516,1970-01-01 00:00:00,Saque,-20.0,2020
53075,516,1970-01-01 00:00:00,Saque,-520.0,2022
14511,772,1970-01-01 00:00:00,Saque,-195.0,2018
16095,772,1970-01-01 00:00:00,Saque,-300.0,2018
32383,772,1970-01-01 00:00:00,Saque,-205.0,2020
13629,5,1970-01-01 00:00:00,Saque,-50.0,2016
21656,5,1970-01-01 00:00:00,Saque,-170.0,2016
46080,5,1970-01-01 00:00:00,Saque,-275.0,2017
51579,5,1970-01-01 00:00:00,Saque,-390.0,2017
64937,5,1970-01-01 00:00:00,Saque,-185.0,2018
68430,5,1970-01-01 00:00:00,Saque,-515.0,2018
8427,261,1970-01-01 00:00:00,Saque,-105.0,2016
18786,517,1970-01-01 00:00:00,Saque,-195.0,2021
30913,517,1970-01-01 00:00:00,Saque,-310.0,2022
67325,517,1970-01-01 00:00:00,Saque,-210.0,2022
67670,517,1970-01-01 00:00:00,Saque,-65.0,2022
8469,773,1970-01-01 00:00:00,Saque,-235.0,2018
35187,773,1970-01-01 00:00:00,Saque,-170.0,2020
49018,773,1970-01-01 00:00:00,Saque,-155.0,2020
51264,773,1970-01-01 00:00:00,Saque,-315.0,2020
62479,773,1970-01-01 00:00:00,Saque,-350.0,2020
17220,6,1970-01-01 00:00:00,Saque,-310.0,2010
28307,6,1970-01-01 00:00:00,Saque,-105.0,2013
56011,6,1970-01-01 00:00:00,Saque,-125.0,2016
62369,6,1970-01-01 00:00:00,Saque,-35.0,2016
68342,6,1970-01-01 00:00:00,Saque,-570.0,2016
19072,262,1970-01-01 00:00:00,Saque,-100.0,2021
39236,262,1970-01-01 00:00:00,Saque,-45.0,2022
57340,262,1970-01-01 00:00:00,Saque,-20.0,2022
15972,518,1970-01-01 00:00:00,Saque,-100.0,2020
22464,518,1970-01-01 00:00:00,Saque,-510.0,2020
23183,518,1970-01-01 00:00:00,Saque,-155.0,2020
29191,518,1970-01-01 00:00:00,Saque,-170.0,2021
6423,774,1970-01-01 00:00:00,Saque,-305.0,2018
16296,774,1970-01-01 00:00:00,Saque,-200.0,2019
30517,774,1970-01-01 00:00:00,Saque,-155.0,2019
33510,774,1970-01-01 00:00:00,Saque,-255.0,2019
7673,7,1970-01-01 00:00:00,Saque,-145.0,2022
9816,7,1970-01-01 00:00:00,Saque,-145.0,2022
23723,7,1970-01-01 00:00:00,Saque,-165.0,2022
59321,7,1970-01-01 00:00:00,Saque,-125.0,2022
71149,263,1970-01-01 00:00:00,Saque,-120.0,2022
39583,775,1970-01-01 00:00:00,Saque,-3085.0,2019
3465,8,1970-01-01 00:00:00,Saque,-80.0,2021
34732,8,1970-01-01 00:00:00,Saque,-55.0,2022
66930,8,1970-01-01 00:00:00,Saque,-190.0,2022
13173,520,1970-01-01 00:00:00,Saque,-135.0,2021
19295,520,1970-01-01 00:00:00,Saque,-125.0,2021
21769,520,1970-01-01 00:00:00,Saque,-215.0,2021
33666,520,1970-01-01 00:00:00,Saque,-110.0,2021
52095,776,1970-01-01 00:00:00,Saque,-90.0,2022
12181,9,1970-01-01 00:00:00,Saque,-265.0,2022
44978,9,1970-01-01 00:00:00,Saque,-85.0,2022
59499,9,1970-01-01 00:00:00,Saque,-575.0,2022
32179,265,1970-01-01 00:00:00,Saque,-95.0,2020
54854,265,1970-01-01 00:00:00,Saque,-440.0,2021
55815,265,1970-01-01 00:00:00,Saque,-285.0,2022
8052,521,1970-01-01 00:00:00,Saque,-160.0,2022
30093,521,1970-01-01 00:00:00,Saque,-365.0,2022
48929,521,1970-01-01 00:00:00,Saque,-100.0,2022
51308,777,1970-01-01 00:00:00,Saque,-140.0,2022
59011,777,1970-01-01 00:00:00,Saque,-80.0,2022
22540,10,1970-01-01 00:00:00,Saque,-130.0,2021
29438,10,1970-01-01 00:00:00,Saque,-80.0,2022
44734,10,1970-01-01 00:00:00,Saque,-445.0,2022
12388,266,1970-01-01 00:00:00,Saque,-40.0,2016
15810,266,1970-01-01 00:00:00,Saque,-210.0,2018
24977,266,1970-01-01 00:00:00,Saque,-180.0,2020
27283,266,1970-01-01 00:00:00,Saque,-1140.0,2020
38718,266,1970-01-01 00:00:00,Saque,-270.0,2020
43848,266,1970-01-01 00:00:00,Saque,-120.0,2020
44722,266,1970-01-01 00:00:00,Saque,-50.0,2020
36117,522,1970-01-01 00:00:00,Saque,-300.0,2018
56909,522,1970-01-01 00:00:00,Saque,-75.0,2020
18149,11,1970-01-01 00:00:00,Saque,-235.0,2012
38618,11,1970-01-01 00:00:00,Saque,-145.0,2014
44427,11,1970-01-01 00:00:00,Saque,-175.0,2014
56189,11,1970-01-01 00:00:00,Saque,-655.0,2022
63414,11,1970-01-01 00:00:00,Saque,-95.0,2022
22955,267,1970-01-01 00:00:00,Saque,-840.0,2022
46180,267,1970-01-01 00:00:00,Saque,-75.0,2022
3645,523,1970-01-01 00:00:00,Saque,-65.0,2013
38984,523,1970-01-01 00:00:00,Saque,-55.0,2013
42980,523,1970-01-01 00:00:00,Saque,-95.0,2013
58561,523,1970-01-01 00:00:00,Saque,-230.0,2014
14936,779,1970-01-01 00:00:00,Saque,-45.0,2014
15752,779,1970-01-01 00:00:00,Saque,-210.0,2014
33537,779,1970-01-01 00:00:00,Saque,-115.0,2015
35323,779,1970-01-01 00:00:00,Saque,-240.0,2016
53676,779,1970-01-01 00:00:00,Saque,-240.0,2020
65848,779,1970-01-01 00:00:00,Saque,-65.0,2021
66934,779,1970-01-01 00:00:00,Saque,-100.0,2021
6103,12,1970-01-01 00:00:00,Saque,-90.0,2016
37428,12,1970-01-01 00:00:00,Saque,-45.0,2017
17606,524,1970-01-01 00:00:00,Saque,-255.0,2022
65455,524,1970-01-01 00:00:00,Saque,-115.0,2022
9687,780,1970-01-01 00:00:00,Saque,-250.0,2018
12757,780,1970-01-01 00:00:00,Saque,-370.0,2018
43121,780,1970-01-01 00:00:00,Saque,-690.0,2021
65293,780,1970-01-01 00:00:00,Saque,-145.0,2022
1798,13,1970-01-01 00:00:00,Saque,-20.0,2022
27639,269,1970-01-01 00:00:00,Saque,-25.0,2018
33570,269,1970-01-01 00:00:00,Saque,-225.0,2018
54788,269,1970-01-01 00:00:00,Saque,-70.0,2019
56452,269,1970-01-01 00:00:00,Saque,-350.0,2019
60876,269,1970-01-01 00:00:00,Saque,-215.0,2019
43403,525,1970-01-01 00:00:00,Saque,-190.0,2016
45386,525,1970-01-01 00:00:00,Saque,-40.0,2016
58995,525,1970-01-01 00:00:00,Saque,-100.0,2017
71831,525,1970-01-01 00:00:00,Saque,-1330.0,2017
2923,781,1970-01-01 00:00:00,Saque,-145.0,2014
8520,781,1970-01-01 00:00:00,Saque,-320.0,2014
15369,781,1970-01-01 00:00:00,Saque,-170.0,2015
15704,781,1970-01-01 00:00:00,Saque,-385.0,2015
21972,781,1970-01-01 00:00:00,Saque,-185.0,2015
16383,14,1970-01-01 00:00:00,Saque,-165.0,2022
45047,14,1970-01-01 00:00:00,Saque,-90.0,2022
30353,270,1970-01-01 00:00:00,Saque,-195.0,2021
55044,526,1970-01-01 00:00:00,Saque,-40.0,2022
63896,526,1970-01-01 00:00:00,Saque,-345.0,2022
67818,526,1970-01-01 00:00:00,Saque,-325.0,2022
16318,782,1970-01-01 00:00:00,Saque,-105.0,2019
21680,782,1970-01-01 00:00:00,Saque,-570.0,2019
52349,782,1970-01-01 00:00:00,Saque,-100.0,2021
69692,782,1970-01-01 00:00:00,Saque,-115.0,2022
12765,15,1970-01-01 00:00:00,Saque,-225.0,2022
24592,15,1970-01-01 00:00:00,Saque,-650.0,2022
29490,15,1970-01-01 00:00:00,Saque,-340.0,2022
17546,527,1970-01-01 00:00:00,Saque,-430.0,2020
53568,527,1970-01-01 00:00:00,Saque,-220.0,2020
54494,527,1970-01-01 00:00:00,Saque,-100.0,2020
63644,527,1970-01-01 00:00:00,Saque,-145.0,2021
46412,783,1970-01-01 00:00:00,Saque,-995.0,2017
51490,783,1970-01-01 00:00:00,Saque,-425.0,2018
68914,783,1970-01-01 00:00:00,Saque,-190.0,2019
30688,16,1970-01-01 00:00:00,Saque,-140.0,2021
37624,272,1970-01-01 00:00:00,Saque,-95.0,2022
59712,272,1970-01-01 00:00:00,Saque,-280.0,2022
13562,528,1970-01-01 00:00:00,Saque,-50.0,2016
52966,528,1970-01-01 00:00:00,Saque,-650.0,2017
55668,528,1970-01-01 00:00:00,Saque,-220.0,2017
60003,528,1970-01-01 00:00:00,Saque,-300.0,2017
69033,528,1970-01-01 00:00:00,Saque,-190.0,2018
19616,784,1970-01-01 00:00:00,Saque,-265.0,2022
36328,784,1970-01-01 00:00:00,Saque,-170.0,2022
37823,784,1970-01-01 00:00:00,Saque,-615.0,2022
40577,784,1970-01-01 00:00:00,Saque,-710.0,2022
41410,784,1970-01-01 00:00:00,Saque,-195.0,2022
12574,17,1970-01-01 00:00:00,Saque,-60.0,2022
2893,273,1970-01-01 00:00:00,Saque,-380.0,2020
50087,273,1970-01-01 00:00:00,Saque,-345.0,2022
23691,529,1970-01-01 00:00:00,Saque,-70.0,2020
27407,529,1970-01-01 00:00:00,Saque,-25.0,2020
27619,529,1970-01-01 00:00:00,Saque,-290.0,2020
14532,785,1970-01-01 00:00:00,Saque,-110.0,2021
21278,785,1970-01-01 00:00:00,Saque,-105.0,2021
68099,785,1970-01-01 00:00:00,Saque,-85.0,2022
33798,18,1970-01-01 00:00:00,Saque,-655.0,2022
37757,18,1970-01-01 00:00:00,Saque,-1335.0,2022
33902,274,1970-01-01 00:00:00,Saque,-1590.0,2022
42236,274,1970-01-01 00:00:00,Saque,-530.0,2022
2013,530,1970-01-01 00:00:00,Saque,-245.0,2018
13414,530,1970-01-01 00:00:00,Saque,-115.0,2018
65181,530,1970-01-01 00:00:00,Saque,-425.0,2019
52088,786,1970-01-01 00:00:00,Saque,-585.0,2022
57126,786,1970-01-01 00:00:00,Saque,-60.0,2022
1651,19,1970-01-01 00:00:00,Saque,-140.0,2019
10991,19,1970-01-01 00:00:00,Saque,-245.0,2019
43122,19,1970-01-01 00:00:00,Saque,-405.0,2022
57514,19,1970-01-01 00:00:00,Saque,-155.0,2022
58572,19,1970-01-01 00:00:00,Saque,-50.0,2022
59582,19,1970-01-01 00:00:00,Saque,-120.0,2022
70625,19,1970-01-01 00:00:00,Saque,-80.0,2022
36169,275,1970-01-01 00:00:00,Saque,-335.0,2022
44206,275,1970-01-01 00:00:00,Saque,-90.0,2022
52892,275,1970-01-01 00:00:00,Saque,-60.0,2022
50541,787,1970-01-01 00:00:00,Saque,-120.0,2022
59395,787,1970-01-01 00:00:00,Saque,-80.0,2022
25643,20,1970-01-01 00:00:00,Saque,-30.0,2022
49327,20,1970-01-01 00:00:00,Saque,-65.0,2022
35973,276,1970-01-01 00:00:00,Saque,-40.0,2022
24369,532,1970-01-01 00:00:00,Saque,-190.0,2022
17406,788,1970-01-01 00:00:00,Saque,-30.0,2022
40208,788,1970-01-01 00:00:00,Saque,-180.0,2022
3144,21,1970-01-01 00:00:00,Saque,-65.0,2016
23424,21,1970-01-01 00:00:00,Saque,-25.0,2017
29011,21,1970-01-01 00:00:00,Saque,-80.0,2017
47439,21,1970-01-01 00:00:00,Saque,-215.0,2022
48985,21,1970-01-01 00:00:00,Saque,-215.0,2022
55260,21,1970-01-01 00:00:00,Saque,-195.0,2022
18527,277,1970-01-01 00:00:00,Saque,-140.0,2015
17385,533,1970-01-01 00:00:00,Saque,-205.0,2021
46784,533,1970-01-01 00:00:00,Saque,-275.0,2022
15662,789,1970-01-01 00:00:00,Saque,-205.0,2022
41000,789,1970-01-01 00:00:00,Saque,-125.0,2022
70082,789,1970-01-01 00:00:00,Saque,-190.0,2022
5005,22,1970-01-01 00:00:00,Saque,-80.0,2020
67390,22,1970-01-01 00:00:00,Saque,-60.0,2022
34251,278,1970-01-01 00:00:00,Saque,-730.0,2022
70173,278,1970-01-01 00:00:00,Saque,-120.0,2022
71881,278,1970-01-01 00:00:00,Saque,-305.0,2022
1171,534,1970-01-01 00:00:00,Saque,-680.0,2015
4094,534,1970-01-01 00:00:00,Saque,-170.0,2015
39044,534,1970-01-01 00:00:00,Saque,-130.0,2017
19747,23,1970-01-01 00:00:00,Saque,-70.0,2016
31337,23,1970-01-01 00:00:00,Saque,-70.0,2017
35403,23,1970-01-01 00:00:00,Saque,-190.0,2018
41421,23,1970-01-01 00:00:00,Saque,-235.0,2018
18855,279,1970-01-01 00:00:00,Saque,-125.0,2022
26131,279,1970-01-01 00:00:00,Saque,-85.0,2022
33007,279,1970-01-01 00:00:00,Saque,-25.0,2022
2685,535,1970-01-01 00:00:00,Saque,-230.0,2014
42769,535,1970-01-01 00:00:00,Saque,-40.0,2020
65869,535,1970-01-01 00:00:00,Saque,-55.0,2021
2844,791,1970-01-01 00:00:00,Saque,-105.0,2015
3563,791,1970-01-01 00:00:00,Saque,-490.0,2015
7088,791,1970-01-01 00:00:00,Saque,-110.0,2015
30009,791,1970-01-01 00:00:00,Saque,-35.0,2018
63281,791,1970-01-01 00:00:00,Saque,-530.0,2022
16839,24,1970-01-01 00:00:00,Saque,-70.0,2018
49431,24,1970-01-01 00:00:00,Saque,-40.0,2022
57412,24,1970-01-01 00:00:00,Saque,-195.0,2022
3603,280,1970-01-01 00:00:00,Saque,-330.0,2018
5471,280,1970-01-01 00:00:00,Saque,-135.0,2018
6197,280,1970-01-01 00:00:00,Saque,-270.0,2018
10769,280,1970-01-01 00:00:00,Saque,-110.0,2018
11437,280,1970-01-01 00:00:00,Saque,-995.0,2018
18976,280,1970-01-01 00:00:00,Saque,-635.0,2019
22681,280,1970-01-01 00:00:00,Saque,-690.0,2019
33674,280,1970-01-01 00:00:00,Saque,-175.0,2019
39457,280,1970-01-01 00:00:00,Saque,-95.0,2020
48412,280,1970-01-01 00:00:00,Saque,-425.0,2020
50333,280,1970-01-01 00:00:00,Saque,-455.0,2020
53248,280,1970-01-01 00:00:00,Saque,-35.0,2020
56572,280,1970-01-01 00:00:00,Saque,-70.0,2020
63302,280,1970-01-01 00:00:00,Saque,-105.0,2022
51839,536,1970-01-01 00:00:00,Saque,-200.0,2022
61545,792,1970-01-01 00:00:00,Saque,-90.0,2022
10019,25,1970-01-01 00:00:00,Saque,-255.0,2022
31281,25,1970-01-01 00:00:00,Saque,-870.0,2022
33345,25,1970-01-01 00:00:00,Saque,-875.0,2022
35094,281,1970-01-01 00:00:00,Saque,-50.0,2022
70958,281,1970-01-01 00:00:00,Saque,-570.0,2022
3929,537,1970-01-01 00:00:00,Saque,-455.0,2020
17782,537,1970-01-01 00:00:00,Saque,-670.0,2020
44925,537,1970-01-01 00:00:00,Saque,-255.0,2022
67305,537,1970-01-01 00:00:00,Saque,-185.0,2022
70829,793,1970-01-01 00:00:00,Saque,-225.0,2022
4943,26,1970-01-01 00:00:00,Saque,-150.0,2012
10865,26,1970-01-01 00:00:00,Saque,-55.0,2012
28725,26,1970-01-01 00:00:00,Saque,-45.0,2013
30225,26,1970-01-01 00:00:00,Saque,-130.0,2013
37368,26,1970-01-01 00:00:00,Saque,-135.0,2014
46435,26,1970-01-01 00:00:00,Saque,-85.0,2020
65398,26,1970-01-01 00:00:00,Saque,-180.0,2020
67346,26,1970-01-01 00:00:00,Saque,-75.0,2020
8362,282,1970-01-01 00:00:00,Saque,-245.0,2017
16477,282,1970-01-01 00:00:00,Saque,-155.0,2017
32820,282,1970-01-01 00:00:00,Saque,-40.0,2022
39350,282,1970-01-01 00:00:00,Saque,-435.0,2022
46876,282,1970-01-01 00:00:00,Saque,-655.0,2022
69312,282,1970-01-01 00:00:00,Saque,-95.0,2022
23291,794,1970-01-01 00:00:00,Saque,-180.0,2021
28129,794,1970-01-01 00:00:00,Saque,-475.0,2021
41272,794,1970-01-01 00:00:00,Saque,-40.0,2021
26056,27,1970-01-01 00:00:00,Saque,-95.0,2022
42701,27,1970-01-01 00:00:00,Saque,-85.0,2022
23210,283,1970-01-01 00:00:00,Saque,-900.0,2019
39074,283,1970-01-01 00:00:00,Saque,-615.0,2019
48379,283,1970-01-01 00:00:00,Saque,-435.0,2019
63656,283,1970-01-01 00:00:00,Saque,-215.0,2020
9830,539,1970-01-01 00:00:00,Saque,-630.0,2011
18089,539,1970-01-01 00:00:00,Saque,-195.0,2012
24017,539,1970-01-01 00:00:00,Saque,-175.0,2012
45524,539,1970-01-01 00:00:00,Saque,-60.0,2012
46015,539,1970-01-01 00:00:00,Saque,-80.0,2012
51725,539,1970-01-01 00:00:00,Saque,-205.0,2013
60734,539,1970-01-01 00:00:00,Saque,-140.0,2015
62231,539,1970-01-01 00:00:00,Saque,-95.0,2015
5485,795,1970-01-01 00:00:00,Saque,-285.0,2022
26351,795,1970-01-01 00:00:00,Saque,-345.0,2022
7169,28,1970-01-01 00:00:00,Saque,-35.0,2017
31816,28,1970-01-01 00:00:00,Saque,-1335.0,2017
39994,28,1970-01-01 00:00:00,Saque,-325.0,2017
70497,28,1970-01-01 00:00:00,Saque,-305.0,2019
3129,284,1970-01-01 00:00:00,Saque,-50.0,2020
37031,540,1970-01-01 00:00:00,Saque,-675.0,2020
37456,540,1970-01-01 00:00:00,Saque,-250.0,2020
37681,540,1970-01-01 00:00:00,Saque,-185.0,2020
42280,540,1970-01-01 00:00:00,Saque,-390.0,2020
55719,540,1970-01-01 00:00:00,Saque,-595.0,2021
57393,540,1970-01-01 00:00:00,Saque,-45.0,2021
57605,540,1970-01-01 00:00:00,Saque,-355.0,2021
71755,540,1970-01-01 00:00:00,Saque,-140.0,2021
1177,796,1970-01-01 00:00:00,Saque,-130.0,2019
4904,796,1970-01-01 00:00:00,Saque,-95.0,2020
18721,796,1970-01-01 00:00:00,Saque,-900.0,2020
25522,796,1970-01-01 00:00:00,Saque,-185.0,2020
29600,796,1970-01-01 00:00:00,Saque,-140.0,2020
52239,796,1970-01-01 00:00:00,Saque,-320.0,2022
60745,796,1970-01-01 00:00:00,Saque,-1615.0,2022
22968,29,1970-01-01 00:00:00,Saque,-70.0,2022
8258,285,1970-01-01 00:00:00,Saque,-250.0,2017
11944,285,1970-01-01 00:00:00,Saque,-45.0,2020
17249,285,1970-01-01 00:00:00,Saque,-25.0,2022
43416,285,1970-01-01 00:00:00,Saque,-910.0,2022
46164,285,1970-01-01 00:00:00,Saque,-355.0,2022
49423,285,1970-01-01 00:00:00,Saque,-395.0,2022
5523,541,1970-01-01 00:00:00,Saque,-35.0,2019
26073,541,1970-01-01 00:00:00,Saque,-20.0,2021
57042,541,1970-01-01 00:00:00,Saque,-75.0,2022
39711,797,1970-01-01 00:00:00,Saque,-40.0,2022
49643,797,1970-01-01 00:00:00,Saque,-75.0,2022
26752,30,1970-01-01 00:00:00,Saque,-180.0,2020
54108,30,1970-01-01 00:00:00,Saque,-50.0,2022
15265,286,1970-01-01 00:00:00,Saque,-680.0,2021
15849,286,1970-01-01 00:00:00,Saque,-285.0,2021
44216,286,1970-01-01 00:00:00,Saque,-395.0,2022
57024,286,1970-01-01 00:00:00,Saque,-300.0,2022
25019,542,1970-01-01 00:00:00,Saque,-35.0,2022
54916,542,1970-01-01 00:00:00,Saque,-105.0,2022
35248,798,1970-01-01 00:00:00,Saque,-500.0,2017
51268,798,1970-01-01 00:00:00,Saque,-270.0,2017
19754,31,1970-01-01 00:00:00,Saque,-205.0,2018
30617,31,1970-01-01 00:00:00,Saque,-40.0,2018
37663,31,1970-01-01 00:00:00,Saque,-105.0,2019
47865,31,1970-01-01 00:00:00,Saque,-475.0,2021
50032,31,1970-01-01 00:00:00,Saque,-990.0,2021
16148,287,1970-01-01 00:00:00,Saque,-120.0,2022
21273,287,1970-01-01 00:00:00,Saque,-105.0,2022
61249,287,1970-01-01 00:00:00,Saque,-185.0,2022
27328,543,1970-01-01 00:00:00,Saque,-110.0,2018
48340,799,1970-01-01 00:00:00,Saque,-80.0,2022
24722,32,1970-01-01 00:00:00,Saque,-20.0,2018
31919,32,1970-01-01 00:00:00,Saque,-50.0,2018
33771,32,1970-01-01 00:00:00,Saque,-190.0,2018
36235,32,1970-01-01 00:00:00,Saque,-165.0,2019
53669,32,1970-01-01 00:00:00,Saque,-95.0,2020
6090,288,1970-01-01 00:00:00,Saque,-175.0,2018
22399,288,1970-01-01 00:00:00,Saque,-80.0,2020
31271,288,1970-01-01 00:00:00,Saque,-145.0,2021
28695,544,1970-01-01 00:00:00,Saque,-770.0,2020
4960,800,1970-01-01 00:00:00,Saque,-305.0,2015
13086,800,1970-01-01 00:00:00,Saque,-85.0,2015
22727,800,1970-01-01 00:00:00,Saque,-280.0,2015
28564,800,1970-01-01 00:00:00,Saque,-225.0,2016
54850,800,1970-01-01 00:00:00,Saque,-185.0,2022
67087,800,1970-01-01 00:00:00,Saque,-50.0,2022
31569,33,1970-01-01 00:00:00,Saque,-60.0,2022
42251,33,1970-01-01 00:00:00,Saque,-135.0,2022
55700,33,1970-01-01 00:00:00,Saque,-210.0,2022
32461,289,1970-01-01 00:00:00,Saque,-85.0,2022
54549,289,1970-01-01 00:00:00,Saque,-60.0,2022
16271,545,1970-01-01 00:00:00,Saque,-100.0,2020
23930,545,1970-01-01 00:00:00,Saque,-40.0,2020
27628,545,1970-01-01 00:00:00,Saque,-150.0,2020
13581,801,1970-01-01 00:00:00,Saque,-110.0,2021
43907,801,1970-01-01 00:00:00,Saque,-25.0,2022
60728,801,1970-01-01 00:00:00,Saque,-40.0,2022
65110,801,1970-01-01 00:00:00,Saque,-290.0,2022
21492,34,1970-01-01 00:00:00,Saque,-50.0,2022
22413,34,1970-01-01 00:00:00,Saque,-125.0,2022
29138,34,1970-01-01 00:00:00,Saque,-20.0,2022
34974,34,1970-01-01 00:00:00,Saque,-175.0,2022
31856,290,1970-01-01 00:00:00,Saque,-135.0,2022
69965,290,1970-01-01 00:00:00,Saque,-1280.0,2022
16243,546,1970-01-01 00:00:00,Saque,-290.0,2022
27647,546,1970-01-01 00:00:00,Saque,-490.0,2022
52098,546,1970-01-01 00:00:00,Saque,-495.0,2022
7370,802,1970-01-01 00:00:00,Saque,-335.0,2016
11969,802,1970-01-01 00:00:00,Saque,-165.0,2016
21000,802,1970-01-01 00:00:00,Saque,-430.0,2016
55631,802,1970-01-01 00:00:00,Saque,-570.0,2017
18187,35,1970-01-01 00:00:00,Saque,-350.0,2016
28053,35,1970-01-01 00:00:00,Saque,-105.0,2017
28896,35,1970-01-01 00:00:00,Saque,-355.0,2017
30980,35,1970-01-01 00:00:00,Saque,-80.0,2017
32015,35,1970-01-01 00:00:00,Saque,-120.0,2017
46599,35,1970-01-01 00:00:00,Saque,-120.0,2017
50351,35,1970-01-01 00:00:00,Saque,-105.0,2017
67970,291,1970-01-01 00:00:00,Saque,-165.0,2022
38530,547,1970-01-01 00:00:00,Saque,-90.0,2016
54014,547,1970-01-01 00:00:00,Saque,-190.0,2016
55485,547,1970-01-01 00:00:00,Saque,-245.0,2016
69582,547,1970-01-01 00:00:00,Saque,-770.0,2018
47915,803,1970-01-01 00:00:00,Saque,-845.0,2022
54939,803,1970-01-01 00:00:00,Saque,-145.0,2022
64917,803,1970-01-01 00:00:00,Saque,-220.0,2022
16301,36,1970-01-01 00:00:00,Saque,-50.0,2016
48750,36,1970-01-01 00:00:00,Saque,-360.0,2022
28130,292,1970-01-01 00:00:00,Saque,-295.0,2020
50760,292,1970-01-01 00:00:00,Saque,-885.0,2022
60412,292,1970-01-01 00:00:00,Saque,-135.0,2022
18951,548,1970-01-01 00:00:00,Saque,-185.0,2022
58312,548,1970-01-01 00:00:00,Saque,-340.0,2022
61548,548,1970-01-01 00:00:00,Saque,-295.0,2022
14490,804,1970-01-01 00:00:00,Saque,-95.0,2013
17915,804,1970-01-01 00:00:00,Saque,-680.0,2013
45181,804,1970-01-01 00:00:00,Saque,-160.0,2014
57493,804,1970-01-01 00:00:00,Saque,-155.0,2015
69514,37,1970-01-01 00:00:00,Saque,-525.0,2022
3437,293,1970-01-01 00:00:00,Saque,-65.0,2018
29736,293,1970-01-01 00:00:00,Saque,-295.0,2020
39687,549,1970-01-01 00:00:00,Saque,-175.0,2020
62193,805,1970-01-01 00:00:00,Saque,-385.0,2022
64211,805,1970-01-01 00:00:00,Saque,-810.0,2022
69255,805,1970-01-01 00:00:00,Saque,-445.0,2022
34343,38,1970-01-01 00:00:00,Saque,-80.0,2022
1567,294,1970-01-01 00:00:00,Saque,-95.0,2021
12404,294,1970-01-01 00:00:00,Saque,-40.0,2022
49443,294,1970-01-01 00:00:00,Saque,-180.0,2022
13839,550,1970-01-01 00:00:00,Saque,-50.0,2022
24862,550,1970-01-01 00:00:00,Saque,-160.0,2022
41548,550,1970-01-01 00:00:00,Saque,-170.0,2022
53947,295,1970-01-01 00:00:00,Saque,-650.0,2022
19060,551,1970-01-01 00:00:00,Saque,-225.0,2018
25574,551,1970-01-01 00:00:00,Saque,-915.0,2019
10808,807,1970-01-01 00:00:00,Saque,-140.0,2022
24402,807,1970-01-01 00:00:00,Saque,-45.0,2022
27353,807,1970-01-01 00:00:00,Saque,-190.0,2022
5223,40,1970-01-01 00:00:00,Saque,-65.0,2015
